game_identifier,value_model,sampling_weight,residual_approximator,configuration,count,median,mean,std
BikeSharingLocalXAI_1,dt,default,kernelshapiq,dt / default / kernelshapiq,1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,dt,default,kernelshapiq,dt / default / kernelshapiq (depth=10),1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,dt,default,kernelshapiq,dt / default / kernelshapiq (depth=20),1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,dt,default,shapiq,dt / default / shapiq,1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,dt,default,shapiq,dt / default / shapiq (depth=10),1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,dt,default,shapiq,dt / default / shapiq (depth=20),1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,dt,leverage,kernelshapiq,dt / leverage / kernelshapiq,1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,dt,leverage,kernelshapiq,dt / leverage / kernelshapiq (depth=10),1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,dt,leverage,kernelshapiq,dt / leverage / kernelshapiq (depth=20),1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,dt,leverage,shapiq,dt / leverage / shapiq,1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,dt,leverage,shapiq,dt / leverage / shapiq (depth=10),1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,dt,leverage,shapiq,dt / leverage / shapiq (depth=20),1,7.293492156175106e-26,7.293492156175106e-26,
BikeSharingLocalXAI_1,lightgbm,default,kernelshapiq,"lightgbm / default / kernelshapiq (depth=10, estimators=100)",1,0.0115603321597719,0.0115603321597719,
BikeSharingLocalXAI_1,lightgbm,default,kernelshapiq,"lightgbm / default / kernelshapiq (depth=10, estimators=200)",1,0.0038126332848757,0.0038126332848757,
BikeSharingLocalXAI_1,lightgbm,default,kernelshapiq,"lightgbm / default / kernelshapiq (depth=10, estimators=50)",1,0.0445350965829773,0.0445350965829773,
BikeSharingLocalXAI_1,lightgbm,default,kernelshapiq,"lightgbm / default / kernelshapiq (depth=20, estimators=100)",1,0.0115603321597719,0.0115603321597719,
BikeSharingLocalXAI_1,lightgbm,default,kernelshapiq,"lightgbm / default / kernelshapiq (depth=20, estimators=200)",1,0.0038126332848757,0.0038126332848757,
BikeSharingLocalXAI_1,lightgbm,default,kernelshapiq,"lightgbm / default / kernelshapiq (depth=20, estimators=50)",1,0.0445350965829773,0.0445350965829773,
BikeSharingLocalXAI_1,lightgbm,default,kernelshapiq,lightgbm / default / kernelshapiq (estimators=100),1,0.0115603321597719,0.0115603321597719,
BikeSharingLocalXAI_1,lightgbm,default,kernelshapiq,lightgbm / default / kernelshapiq (estimators=200),1,0.0038126332848757,0.0038126332848757,
BikeSharingLocalXAI_1,lightgbm,default,kernelshapiq,lightgbm / default / kernelshapiq (estimators=50),1,0.0445350965829773,0.0445350965829773,
BikeSharingLocalXAI_1,lightgbm,default,shapiq,"lightgbm / default / shapiq (depth=10, estimators=100)",1,0.0062655817310608,0.0062655817310608,
BikeSharingLocalXAI_1,lightgbm,default,shapiq,"lightgbm / default / shapiq (depth=10, estimators=200)",1,0.0027503950637797,0.0027503950637797,
BikeSharingLocalXAI_1,lightgbm,default,shapiq,"lightgbm / default / shapiq (depth=10, estimators=50)",1,0.0258126623238224,0.0258126623238224,
BikeSharingLocalXAI_1,lightgbm,default,shapiq,"lightgbm / default / shapiq (depth=20, estimators=100)",1,0.0062655817310608,0.0062655817310608,
BikeSharingLocalXAI_1,lightgbm,default,shapiq,"lightgbm / default / shapiq (depth=20, estimators=200)",1,0.0027503950637797,0.0027503950637797,
BikeSharingLocalXAI_1,lightgbm,default,shapiq,"lightgbm / default / shapiq (depth=20, estimators=50)",1,0.0258126623238224,0.0258126623238224,
BikeSharingLocalXAI_1,lightgbm,default,shapiq,lightgbm / default / shapiq (estimators=100),1,0.0062655817310608,0.0062655817310608,
