approximator,n_players,mean_agg_mse,sem_mean,count,min_agg_mse,sem_min,sem,fixed_budget_mse,sem_fixed
KernelSHAPIQ,8,34.53437663993095,7.98864100250096,90,1e-08,0.0,7.98864100250096,0.0024036110159111022,0.0005930539811337452
KernelSHAPIQ,9,121534.50276027195,45654.57358161465,90,4.511939387212045e-08,1.4867732415160803e-08,45654.57358161465,0.910590869410367,0.36121138431991706
KernelSHAPIQ,10,0.2717532226509556,0.06705409259250915,90,1e-08,0.0,0.06705409259250915,2.522216594820343e-06,2.5338979930303147e-07
KernelSHAPIQ,11,0.06544564911603763,0.008452703742404656,30,1e-08,0.0,0.008452703742404656,2.4967470929382435e-05,3.4844247861019124e-06
KernelSHAPIQ,12,445.3544146074451,144.02196093885468,90,1e-08,0.0,144.02196093885468,0.01014786725876045,0.0022912006095310157
KernelSHAPIQ,13,21.61662666910307,6.715541114083163,90,1e-08,0.0,6.715541114083163,0.00015082056417679732,2.891241273175347e-05
KernelSHAPIQ,14,0.06229590531152673,0.021052795734725106,30,1e-08,0.0,0.021052795734725106,7.120973905770815e-06,1.073369274726109e-06
KernelSHAPIQ,15,1.1866370562360458,0.283710822661771,30,1e-08,0.0,0.283710822661771,3.3434411950800876e-05,5.9598610158520305e-06
KernelSHAPIQ,16,5.765474792749782e-05,1.7663111921500893e-05,30,1e-08,0.0,1.7663111921500893e-05,1e-08,0.0
KernelSHAPIQ,17,0.0010729226207634261,0.00037553648809401837,30,1.0566142005896407e-08,4.776672697274047e-10,0.00037553648809401837,6.092726776261003e-07,1.4357018708288344e-07
KernelSHAPIQ,19,0.4680941188599505,0.13277135250789793,60,3.1881340534522463e-07,5.713740193142819e-08,0.13277135250789793,2.513878782091764e-05,4.1038150217799545e-06
KernelSHAPIQ,20,1.4488041040612385,0.4196278806764519,30,8.23944703791014e-07,1.199487328277097e-07,0.4196278806764519,6.18877877852162e-05,7.624074008006417e-06
KernelSHAPIQ,21,0.11980347907686249,0.02746279701486577,90,1.7175391099159496e-06,3.331805679579724e-07,0.02746279701486577,0.00015272280420153535,3.071591059158642e-05
KernelSHAPIQ,22,0.6354013922415993,0.16525162520114944,30,1.472738891584185e-05,2.427571205229684e-06,0.16525162520114944,0.0013480205765664846,0.00022743072774678662
KernelSHAPIQ,23,0.06466963171134697,0.015249755596639563,60,5.229819502813047e-07,5.961002310580293e-08,0.015249755596639563,4.945955726033508e-05,6.51236807447921e-06
KernelSHAPIQ,24,0.032342748979773885,0.005392681043860053,30,6.904870936486733e-07,8.771026015806785e-08,0.005392681043860053,4.3750914012329e-05,5.138520658722006e-06
KernelSHAPIQ,25,1.86121323792363,0.6342731838215142,30,1.162031711441864e-06,1.07065433871678e-07,0.6342731838215142,8.539556633684087e-05,8.322841089582804e-06
KernelSHAPIQ,30,0.19195313848338186,0.028959524372537727,60,3.2669575153621938e-06,6.5567804161887e-07,0.028959524372537727,0.017718686054708735,0.0028101282660727904
KernelSHAPIQ,33,2.1274863461585722,0.4471114818471214,30,5.937872241287928e-07,1.9424150846552024e-07,0.4471114818471214,22.39007132588057,5.356275815481196
KernelSHAPIQ,35,0.2839580171890651,0.058307498127535995,30,8.129208105155178e-07,1.2107046496575155e-07,0.058307498127535995,0.9436848507334531,0.334140055897283
KernelSHAPIQ,36,0.06089993184681539,0.01827950282205877,30,7.913341813422408e-07,1.2220696119872692e-07,0.01827950282205877,0.6694587230098956,0.20105539024123228
KernelSHAPIQ,38,41.085018088237995,11.67715798806883,30,5.730524174873504e-07,9.436756447761462e-08,11.67715798806883,0.26336752314816525,0.12730151862590644
KernelSHAPIQ,41,415.4218590561651,96.29296163735701,30,3.022985280434861e-06,6.665579211503322e-07,96.29296163735701,4559.514908470199,1059.769600004054
KernelSHAPIQ,47,0.015065750289994326,0.004510090423801464,30,3.624808338988881e-07,8.409491402836327e-08,0.004510090423801464,,
KernelSHAPIQ,60,0.25982042023797214,0.045805116538729616,90,1.0646197086923741e-06,1.1283892863965125e-07,0.045805116538729616,,
KernelSHAPIQ,64,7.893608809627353,2.995823319855817,30,7.809007290867103e-06,3.394988360074552e-06,2.995823319855817,,
KernelSHAPIQ,79,3.3964921646983783,0.8387212648204547,30,1.9158693252286047e-05,2.250375880617867e-06,0.8387212648204547,,
KernelSHAPIQ,81,33.89533314230838,7.028149615705887,30,0.00051762413340316,0.00011063793740760094,7.028149615705887,,
KernelSHAPIQ,85,0.17158614955970236,0.03562533108979858,30,2.924804224051226e-06,3.445905433254424e-07,0.03562533108979858,,
KernelSHAPIQ,86,16.805184398008603,8.851076892907342,30,4.07437730909566e-06,7.919876780144668e-07,8.851076892907342,,
KernelSHAPIQ,94,0.791923064842895,0.195385317528284,30,5.846692239425598e-06,2.360314627742792e-06,0.195385317528284,,
KernelSHAPIQ,101,282283.92427616636,77224.19265154049,30,0.05693166288708426,0.010708828579963709,77224.19265154049,,
KernelSHAPIQ,111,1.6144529148867124,0.46907618383185923,30,1.3000737136473027e-06,3.807023842709387e-07,0.46907618383185923,,
KernelSHAPIQ,170,2105.60838589966,2085.076077553828,30,0.011578418103808429,0.011365188128871986,2085.076077553828,,
KernelSHAPIQ,212,3.435509706510894,0.5264416656301836,30,2.0843172755902035,0.3037684907799211,0.5264416656301836,,
