approximator,n_players,mean_agg_mse,sem_mean,count,min_agg_mse,sem_min,sem,fixed_budget_mse,sem_fixed
KernelSHAPIQ,8,0.5203886836930737,0.15332598729821215,90,1e-08,0.0,0.15332598729821215,0.04732133832372016,0.013133505002446755
KernelSHAPIQ,9,5905.509044741089,2673.2508513277276,90,2.1581450992147093e-08,5.436420070128444e-09,2673.2508513277276,20.3593197099837,7.487834741741384
KernelSHAPIQ,10,0.017257290901011496,0.002179072860679098,90,1e-08,0.0,0.002179072860679098,4.050104427014321e-05,5.138823103693728e-06
KernelSHAPIQ,11,0.11011607323196482,0.01977483989396,30,1e-08,0.0,0.01977483989396,2.5692239902453914e-05,3.162217266599734e-06
KernelSHAPIQ,12,299.86502644405977,100.04908355258571,90,1e-08,0.0,100.04908355258571,0.008287264605795298,0.0020529741501753135
KernelSHAPIQ,13,182.84606197864446,53.57896763960543,90,1e-08,0.0,53.57896763960543,0.0005601145682528999,0.00014364286803570278
KernelSHAPIQ,14,0.005894062651435239,0.001390096413253204,30,1e-08,0.0,0.001390096413253204,7.277377415533972e-06,9.61151891848735e-07
KernelSHAPIQ,15,0.05507648549725548,0.009706865097161484,30,1e-08,0.0,0.009706865097161484,0.0005140605521267476,0.00012347673008511158
KernelSHAPIQ,16,1.073786714003394e-08,4.5068594880430766e-10,30,1e-08,0.0,4.5068594880430766e-10,1e-08,0.0
KernelSHAPIQ,17,0.0022312215077514544,0.0007318742603126239,30,3.557410906912956e-08,6.360042078508722e-09,0.0007318742603126239,2.452864447354908e-06,4.4398047026672193e-07
KernelSHAPIQ,19,0.2032040683435092,0.04362827170122904,60,1.109420254394376e-05,2.5560216981294308e-06,0.04362827170122904,0.00045590589277977073,0.00010510049754652168
KernelSHAPIQ,20,60.47699839903711,13.255282273757976,30,1.983865403743623e-05,1.9279845763552083e-06,13.255282273757976,0.0008069924565517567,7.923840685336381e-05
KernelSHAPIQ,21,71.67710986792258,15.768060164298538,90,3.820019731473501e-05,6.744847187631314e-06,15.768060164298538,0.0016889161690020501,0.0002999273175732927
KernelSHAPIQ,22,0.33603540725797004,0.04793296079835008,30,0.0003608058417422547,4.548652324063006e-05,0.04793296079835008,0.01581407103863148,0.002087533921582538
KernelSHAPIQ,23,0.044862386531285575,0.009632589283327827,60,1.0278999581849044e-05,1.1383966443406903e-06,0.009632589283327827,0.0005913012552854017,6.98141887471579e-05
KernelSHAPIQ,24,0.10181848407844817,0.01958076290069367,30,2.780913769525355e-05,4.4689399257517184e-06,0.01958076290069367,0.0009537130447869632,0.00016267506636590448
KernelSHAPIQ,25,0.4352666446438698,0.10661011727818119,30,7.368813440677498e-05,9.123188203280699e-06,0.10661011727818119,0.003472359522482283,0.00045195985905076167
KernelSHAPIQ,30,4.833819716884236,0.791345908502876,60,0.00027489861122236936,3.9203719977364136e-05,0.791345908502876,1.0656793691188866,0.1625105667816035
KernelSHAPIQ,33,0.26872547334797986,0.06384042318856041,30,0.00024669108029676576,4.928073580271256e-05,0.06384042318856041,,
KernelSHAPIQ,35,3.6285057968666194,0.7617452429040343,30,0.0002878238187446634,3.949831428423532e-05,0.7617452429040343,,
KernelSHAPIQ,36,1.5618935383101926,0.2853118898004686,30,0.0001302577228626989,1.8012169162195546e-05,0.2853118898004686,,
KernelSHAPIQ,38,0.296524361896476,0.07003530370082997,30,0.0002836588838405681,6.723964852958134e-05,0.07003530370082997,,
KernelSHAPIQ,41,15.943191735420204,3.7833178123050053,30,0.0012058590460068967,0.0002503414625125296,3.7833178123050053,,
KernelSHAPIQ,47,0.3745261651795971,0.12475703557604707,30,0.0003477940908030163,0.00010067037632458983,0.12475703557604707,,
"ProxySHAP (Linear, MSR) [our]",8,1.057769028559645,0.18571296002500673,30,1e-08,0.0,0.18571296002500673,0.0037956538697097334,0.0006793540782158802
"ProxySHAP (Linear, MSR) [our]",12,20.828884985347166,2.422635622627247,30,1e-08,0.0,2.422635622627247,0.00023389716944755207,5.070650367479228e-05
"ProxySHAP (Linear, MSR) [our]",13,0.4450857516611903,0.18023982807201805,30,1e-08,0.0,0.18023982807201805,4.0284093146028596e-06,7.196998101114337e-07
