dataset,index,order,depth,r2_score,fourier_time_mean,interventional_time_mean,relative_runtime
AdultCensusLocalXAI,SII,1,1,0.9713091610352986,0.00039292520377784965,0.00015574179124087096,0.3963649817916073
AdultCensusLocalXAI,SII,1,2,0.9949175255578416,0.001005399797577411,0.00013648341409862043,0.13575038947440396
AdultCensusLocalXAI,SII,1,3,0.9970000005446509,0.003467299789190292,0.00013611641479656101,0.03925718082437511
AdultCensusLocalXAI,SII,1,4,0.9988365466106756,0.01266202498227358,0.00017307482194155454,0.013668810651049388
AdultCensusLocalXAI,SII,1,5,0.9993068576761045,0.047269808396231384,0.00018397500971332193,0.003892019366170933
AdultCensusLocalXAI,SII,1,6,0.9997095690500304,0.17225904159713537,0.0002487833960913122,0.001444239987548203
AdultCensusLocalXAI,SII,1,7,0.999874962688153,0.5461480579921044,0.00035292538814246655,0.0006462082634514627
AdultCensusLocalXAI,SII,1,8,0.9999417557428119,1.4167107251938433,0.0006356415920890868,0.0004486742288212114
AdultCensusLocalXAI,SII,2,2,0.9949175255578416,0.0011410502018406987,0.00020128338364884258,0.17640186498730723
AdultCensusLocalXAI,SII,2,3,0.9970000005446509,0.0035569002036936583,0.00023265840718522668,0.06541043995095024
AdultCensusLocalXAI,SII,2,4,0.9988365466106756,0.013656725012697279,0.0002363584004342556,0.017307106953863567
AdultCensusLocalXAI,SII,2,5,0.9993068576761045,0.05240479160565883,0.00027600000612437725,0.005266694087846997
AdultCensusLocalXAI,SII,2,6,0.9997095690500304,0.18536938339238987,0.0003227332141250372,0.0017410276077893382
AdultCensusLocalXAI,SII,2,7,0.999874962688153,0.5749330749968067,0.000503708585165441,0.0008761169031164866
AdultCensusLocalXAI,SII,2,8,0.9999417557428119,1.4519394582137466,0.0007439829991199076,0.0005124063506306215
AdultCensusLocalXAI,SII,3,3,0.9970000005446509,0.003863933205138892,0.0003895415924489498,0.10081478425426027
AdultCensusLocalXAI,SII,3,4,0.9988365466106756,0.014361024997197092,0.0006018166081048548,0.04190624333724885
AdultCensusLocalXAI,SII,3,5,0.9993068576761045,0.05436100841034204,0.0006259248009882867,0.011514223508576529
AdultCensusLocalXAI,SII,3,6,0.9997095690500304,0.19636674999492243,0.0016841499833390116,0.008576553736223468
AdultCensusLocalXAI,SII,3,7,0.999874962688153,0.6002511335769668,0.0008656750083900988,0.0014421880442464807
AdultCensusLocalXAI,SII,3,8,0.9999417557428119,1.5188203086145222,0.001375066803302616,0.0009053518678302114
AdultCensusLocalXAI,BII,1,1,0.9713091610352986,0.0002906332025304437,0.00015464121242985128,0.5320837780523465
AdultCensusLocalXAI,BII,1,2,0.9949175255578416,0.000648491398897022,0.00015293358592316508,0.23582978306771707
AdultCensusLocalXAI,BII,1,3,0.9970000005446509,0.0016737581929191947,0.0001522333943285048,0.09095303907847953
AdultCensusLocalXAI,BII,1,4,0.9988365466106756,0.004900566802825778,0.0001812666072510183,0.03698890649679458
AdultCensusLocalXAI,BII,1,5,0.9993068576761045,0.015787291817832737,0.00025008360389620064,0.015840817208035356
AdultCensusLocalXAI,BII,1,6,0.9997095690500304,0.05083906680811197,0.0003607918042689562,0.007096743251223243
AdultCensusLocalXAI,BII,1,7,0.999874962688153,0.16204781660344453,0.0005230666021816433,0.0032278534394676
AdultCensusLocalXAI,BII,1,8,0.9999417557428119,0.4645841250079684,0.000830624985974282,0.0017878892998335562
AdultCensusLocalXAI,BII,2,2,0.9949175255578416,0.0006796665955334901,0.00020655840635299682,0.30391137023714265
AdultCensusLocalXAI,BII,2,3,0.9970000005446509,0.0017557832063175738,0.00023695839336141945,0.13495879930324386
AdultCensusLocalXAI,BII,2,4,0.9988365466106756,0.005209816596470773,0.00023841680958867074,0.04576299475689389
AdultCensusLocalXAI,BII,2,5,0.9993068576761045,0.015867049782536925,0.00031201661331579087,0.019664437787243375
AdultCensusLocalXAI,BII,2,6,0.9997095690500304,0.05205614978913218,0.0004173751920461655,0.008017788363850555
AdultCensusLocalXAI,BII,2,7,0.999874962688153,0.16250888319918885,0.0005816916120238603,0.003579445016004908
AdultCensusLocalXAI,BII,2,8,0.9999417557428119,0.47519179160008207,0.001312616595532745,0.0027622880250369173
AdultCensusLocalXAI,BII,3,3,0.9970000005446509,0.0016992581891827284,0.00041330839740112425,0.24322872182237837
AdultCensusLocalXAI,BII,3,4,0.9988365466106756,0.004966733185574413,0.0005562584032304585,0.11199683623957869
AdultCensusLocalXAI,BII,3,5,0.9993068576761045,0.016059683391358704,0.0006611582008190453,0.04116881912969699
AdultCensusLocalXAI,BII,3,6,0.9997095690500304,0.05019150000298396,0.0008098085992969573,0.016134377319841266
AdultCensusLocalXAI,BII,3,7,0.999874962688153,0.16161180819617585,0.0010231002001091839,0.0063306030142752465
AdultCensusLocalXAI,BII,3,8,0.9999417557428119,0.4528850334114395,0.0014668998075649143,0.003239011447375999
AdultCensusLocalXAI,FBII,1,1,0.9713091610352986,0.0007353501743637026,0.00014171639923006297,0.19271961056198833
AdultCensusLocalXAI,FBII,1,2,0.9949175255578416,0.0006703582010231912,0.0002557082218118012,0.3814501283366188
AdultCensusLocalXAI,FBII,1,3,0.9970000005446509,0.0018113502184860409,0.00016271660570055246,0.08983166482103827
AdultCensusLocalXAI,FBII,1,4,0.9988365466106756,0.00523695801384747,0.00017094180220738052,0.03264143072283171
AdultCensusLocalXAI,FBII,1,5,0.9993068576761045,0.016447000228799878,0.00020282519981265068,0.012332048214937651
AdultCensusLocalXAI,FBII,1,6,0.9997095690500304,0.05314422519877553,0.00025581659283488987,0.004813629173782442
AdultCensusLocalXAI,FBII,1,7,0.999874962688153,0.16855021642986684,0.00045756679028272627,0.0027147208705787583
AdultCensusLocalXAI,FBII,1,8,0.9999417557428119,0.48247657518368214,0.0006462997873313725,0.0013395464579504647
AdultCensusLocalXAI,FBII,2,2,0.9949175255578416,0.0006765916012227535,0.00021130840759724378,0.3123130810600691
AdultCensusLocalXAI,FBII,2,3,0.9970000005446509,0.0018315583933144809,0.0002410084125585854,0.13158652950313224
AdultCensusLocalXAI,FBII,2,4,0.9988365466106756,0.005667116609402001,0.0003876417875289917,0.06840194304205362
AdultCensusLocalXAI,FBII,2,5,0.9993068576761045,0.018142641603481023,0.00027799978852272034,0.015323005028627176
AdultCensusLocalXAI,FBII,2,6,0.9997095690500304,0.05748189160367474,0.0003396501997485757,0.0059088208524936976
AdultCensusLocalXAI,FBII,2,7,0.999874962688153,0.17336112501798198,0.0004951998009346426,0.0028564639326335572
AdultCensusLocalXAI,FBII,2,8,0.9999417557428119,0.4766906667966396,0.000715125200804323,0.0015001871247238027
AdultCensusLocalXAI,FBII,3,3,0.9970000005446509,0.0019261833978816867,0.00038734159898012877,0.2010927928286093
AdultCensusLocalXAI,FBII,3,4,0.9988365466106756,0.005813066998962313,0.0005479085957631469,0.09425465006010661
AdultCensusLocalXAI,FBII,3,5,0.9993068576761045,0.019586658210027964,0.0006436166004277766,0.03285994953943997
AdultCensusLocalXAI,FBII,3,6,0.9997095690500304,0.059888067003339526,0.0008250831975601614,0.013777088472636
AdultCensusLocalXAI,FBII,3,7,0.999874962688153,0.19028549999929964,0.0009804166038520634,0.0051523453119426965
AdultCensusLocalXAI,FBII,3,8,0.9999417557428119,0.49984604159835727,0.001367666618898511,0.002736175752287894
AdultCensusLocalXAI,FSII,1,1,0.9713091610352986,0.00044010018464177845,0.00015584180364385246,0.354105290300436
AdultCensusLocalXAI,FSII,1,2,0.9949175255578416,0.001070216589141637,0.00013947479892522096,0.1303238992371499
AdultCensusLocalXAI,FSII,1,3,0.9970000005446509,0.00333467498421669,0.00014245000202208757,0.042717806891620906
AdultCensusLocalXAI,FSII,1,4,0.9988365466106756,0.012537216604687273,0.00017060838872566818,0.013608155151589472
AdultCensusLocalXAI,FSII,1,5,0.9993068576761045,0.0472743752063252,0.0002005915972404182,0.004243135871493856
AdultCensusLocalXAI,FSII,1,6,0.9997095690500304,0.17110574181424454,0.00028611640445888045,0.0016721613279903462
AdultCensusLocalXAI,FSII,1,7,0.999874962688153,0.5700847414089367,0.00038017459446564316,0.0006668738291890783
AdultCensusLocalXAI,FSII,1,8,0.9999417557428119,1.435743650002405,0.0006613086210563779,0.000460603549286302
AdultCensusLocalXAI,FSII,2,2,0.9949175255578416,0.0011628166073933243,0.00021303340326994658,0.18320464458062882
AdultCensusLocalXAI,FSII,2,3,0.9970000005446509,0.0035091665922664106,0.00023226657649502158,0.06618852949497937
AdultCensusLocalXAI,FSII,2,4,0.9988365466106756,0.013299875205848365,0.00023806659737601876,0.01789991211882451
AdultCensusLocalXAI,FSII,2,5,0.9993068576761045,0.0499288916005753,0.0006322497851215303,0.01266300462224251
AdultCensusLocalXAI,FSII,2,6,0.9997095690500304,0.1796350581687875,0.0003918834030628204,0.0021815530167535644
AdultCensusLocalXAI,FSII,2,7,0.999874962688153,0.560615950007923,0.0004904917906969786,0.0008749158683231304
AdultCensusLocalXAI,FSII,2,8,0.9999417557428119,1.4502903582062572,0.0007039497955702245,0.0004853854206414784
AdultCensusLocalXAI,FSII,3,3,0.9970000005446509,0.003743724781088531,0.00038067499408498404,0.10168348806193452
AdultCensusLocalXAI,FSII,3,4,0.9988365466106756,0.014474291796796023,0.0005499748163856566,0.03799666499105656
AdultCensusLocalXAI,FSII,3,5,0.9993068576761045,0.0535207919892855,0.0006178583833388984,0.011544268318424538
AdultCensusLocalXAI,FSII,3,6,0.9997095690500304,0.19093432500958443,0.0007901249919086695,0.004138202975651482
AdultCensusLocalXAI,FSII,3,7,0.999874962688153,0.6391840417869389,0.0013939915923401713,0.002180892358393445
AdultCensusLocalXAI,FSII,3,8,0.9999417557428119,1.5494659584132022,0.0015981082106009126,0.0010313929143932433
BikeSharingLocalXAI,SII,1,1,0.9647660322129868,0.0003872000030241907,0.0001512915943749249,0.39073242043717854
BikeSharingLocalXAI,SII,1,2,0.9977535071382283,0.0009150165948085487,0.00014873358886688948,0.16254742232080435
BikeSharingLocalXAI,SII,1,3,0.999468109643141,0.0027357334038242698,0.0001617833971977234,0.059137120953221205
BikeSharingLocalXAI,SII,1,4,0.9998614759404173,0.009189341601449996,0.00016505839303135872,0.017961938971265797
BikeSharingLocalXAI,SII,1,5,0.999967295787932,0.03230179181555286,0.00019854161655530334,0.006146458304511403
BikeSharingLocalXAI,SII,1,6,0.9999877250568083,0.09814494979800656,0.0002854915917851031,0.0029088770473944627
BikeSharingLocalXAI,SII,1,7,0.9999970633639096,0.25317691640229895,0.00036909179762005805,0.001457841429088148
BikeSharingLocalXAI,SII,1,8,0.9999992113827687,0.6051380165969021,0.0007477747974917292,0.0012357095025973901
BikeSharingLocalXAI,SII,2,2,0.9977535071382283,0.0009709667880088091,0.0001861665863543749,0.19173321750391928
BikeSharingLocalXAI,SII,2,3,0.999468109643141,0.0028545413864776493,0.0002053084084764123,0.07192343030967642
BikeSharingLocalXAI,SII,2,4,0.9998614759404173,0.010715233196970075,0.00024118301225826145,0.022508424018850125
BikeSharingLocalXAI,SII,2,5,0.999967295787932,0.03352895019343123,0.00024742480600252746,0.007379437905902622
BikeSharingLocalXAI,SII,2,6,0.9999877250568083,0.11034630018984899,0.0003056166111491621,0.0027696135767429787
BikeSharingLocalXAI,SII,2,7,0.9999970633639096,0.25876935019623487,0.0004507000092417002,0.0017417055339046792
BikeSharingLocalXAI,SII,2,8,0.9999992113827687,0.541717458399944,0.0008449165849015117,0.0015596997508574278
BikeSharingLocalXAI,SII,3,3,0.999468109643141,0.003077300207223743,0.0002985333907417953,0.09701146155354275
BikeSharingLocalXAI,SII,3,4,0.9998614759404173,0.010579650197178126,0.00038631679490208626,0.03651508203977549
BikeSharingLocalXAI,SII,3,5,0.999967295787932,0.03597079999744892,0.00047617481322959065,0.013237815485431554
BikeSharingLocalXAI,SII,3,6,0.9999877250568083,0.10806287480518222,0.0005867836065590381,0.005430020324897914
BikeSharingLocalXAI,SII,3,7,0.9999970633639096,0.27006770820589737,0.0007897665956988931,0.0029243281284735516
BikeSharingLocalXAI,SII,3,8,0.9999992113827687,0.5413936254102737,0.0012181997997686266,0.0022501184768207463
BikeSharingLocalXAI,BII,1,1,0.9647660322129868,0.00028992500156164167,0.0001510165981017053,0.5208815979590408
BikeSharingLocalXAI,BII,1,2,0.9977535071382283,0.0006412083981558681,0.0001592497923411429,0.2483588686597827
BikeSharingLocalXAI,BII,1,3,0.999468109643141,0.0016855168039910495,0.0001560000004246831,0.09255321575869112
BikeSharingLocalXAI,BII,1,4,0.9998614759404173,0.004688049992546439,0.00019194959895685315,0.040944443694507324
BikeSharingLocalXAI,BII,1,5,0.999967295787932,0.01454960040282458,0.0002445001853629947,0.016804597967895307
BikeSharingLocalXAI,BII,1,6,0.9999877250568083,0.0425367581890896,0.00036228359676897525,0.008516953622993739
BikeSharingLocalXAI,BII,1,7,0.9999970633639096,0.12118385819485411,0.0004972582100890577,0.004103337007883555
BikeSharingLocalXAI,BII,1,8,0.9999992113827687,0.3001442002132535,0.0008715669857338071,0.0029038275106250786
BikeSharingLocalXAI,BII,2,2,0.9977535071382283,0.0006424916093237699,0.00016529981512576343,0.257279336767905
BikeSharingLocalXAI,BII,2,3,0.999468109643141,0.0016338581801392138,0.00019650839967653156,0.12027261733315675
BikeSharingLocalXAI,BII,2,4,0.9998614759404173,0.004837400012183935,0.00021645862143486737,0.04474689314294335
BikeSharingLocalXAI,BII,2,5,0.999967295787932,0.014226774987764656,0.000251450203359127,0.017674434548615538
BikeSharingLocalXAI,BII,2,6,0.9999877250568083,0.05969111679587513,0.00041120820678770543,0.006888934716934654
BikeSharingLocalXAI,BII,2,7,0.9999970633639096,0.11831812481395901,0.0005209582042880357,0.004403029587454836
BikeSharingLocalXAI,BII,2,8,0.9999992113827687,0.3102223750087433,0.0008351915865205228,0.0026922351635564126
BikeSharingLocalXAI,BII,3,3,0.999468109643141,0.0016813085996545852,0.0003226086031645536,0.19187947009301662
BikeSharingLocalXAI,BII,3,4,0.9998614759404173,0.004763200005982071,0.00040175839094445107,0.08434631979339213
BikeSharingLocalXAI,BII,3,5,0.999967295787932,0.01409051640657708,0.00047531680902466176,0.0337331007118232
BikeSharingLocalXAI,BII,3,6,0.9999877250568083,0.04280482520116493,0.0006152080022729933,0.01437239842428443
BikeSharingLocalXAI,BII,3,7,0.9999970633639096,0.12164106681011617,0.0008501245873048901,0.006988795886112619
BikeSharingLocalXAI,BII,3,8,0.9999992113827687,0.2987487585865892,0.0013495082035660743,0.004517201041941513
BikeSharingLocalXAI,FBII,1,1,0.9647660322129868,0.0002998666022904217,0.00012598359026014805,0.42013211640732356
BikeSharingLocalXAI,FBII,1,2,0.9977535071382283,0.000625441805459559,0.00015387481544166804,0.24602579184582118
BikeSharingLocalXAI,FBII,1,3,0.999468109643141,0.001686266588512808,0.00016134181059896947,0.09567989527756927
BikeSharingLocalXAI,FBII,1,4,0.9998614759404173,0.00475816639373079,0.00015542481560260057,0.03266485506000451
BikeSharingLocalXAI,FBII,1,5,0.999967295787932,0.015000716596841813,0.00020758319878950716,0.01383821882437342
BikeSharingLocalXAI,FBII,1,6,0.9999877250568083,0.04404543339041993,0.0002909831935539842,0.006606432748083126
BikeSharingLocalXAI,FBII,1,7,0.9999970633639096,0.12188935000449419,0.0003963167779147625,0.0032514471354564605
BikeSharingLocalXAI,FBII,1,8,0.9999992113827687,0.3024194503901526,0.0006289336015470326,0.002079673118695384
BikeSharingLocalXAI,FBII,2,2,0.9977535071382283,0.0006666585919447243,0.0005837585893459618,0.8756484899460559
