dataset,index,order,depth,method,run,time_seconds
AdultCensusLocalXAI,SII,1,5,interventional,1,0.00018708303105086088
AdultCensusLocalXAI,SII,1,5,interventional,2,0.0001681669964455068
AdultCensusLocalXAI,SII,1,5,interventional,3,0.00018800003454089165
AdultCensusLocalXAI,SII,1,5,interventional,4,0.0001948749995790422
AdultCensusLocalXAI,SII,1,5,interventional,5,0.00018174998695030808
AdultCensusLocalXAI,SII,1,6,fourier,1,0.1716465000063181
AdultCensusLocalXAI,SII,1,6,fourier,2,0.1754705419880338
AdultCensusLocalXAI,SII,1,6,fourier,3,0.1728603329975158
AdultCensusLocalXAI,SII,1,6,fourier,4,0.16793858300661668
AdultCensusLocalXAI,SII,1,6,fourier,5,0.17337924998719245
AdultCensusLocalXAI,SII,1,6,interventional,1,0.00025004096096381545
AdultCensusLocalXAI,SII,1,6,interventional,2,0.00026816700119525194
AdultCensusLocalXAI,SII,1,6,interventional,3,0.00023737503215670586
AdultCensusLocalXAI,SII,1,6,interventional,4,0.0002560839639045298
AdultCensusLocalXAI,SII,1,6,interventional,5,0.0002322500222362578
AdultCensusLocalXAI,SII,1,7,fourier,1,0.5504683749750257
AdultCensusLocalXAI,SII,1,7,fourier,2,0.5479297079727985
AdultCensusLocalXAI,SII,1,7,fourier,3,0.5456681660143659
AdultCensusLocalXAI,SII,1,7,fourier,4,0.5442538749775849
AdultCensusLocalXAI,SII,1,7,fourier,5,0.5424201660207473
AdultCensusLocalXAI,SII,1,7,interventional,1,0.0003772499621845782
AdultCensusLocalXAI,SII,1,7,interventional,2,0.00033412501215934753
AdultCensusLocalXAI,SII,1,7,interventional,3,0.0003610840067267418
AdultCensusLocalXAI,SII,1,7,interventional,4,0.00033958395943045616
AdultCensusLocalXAI,SII,1,7,interventional,5,0.00035258400021120906
AdultCensusLocalXAI,SII,1,8,fourier,1,1.4194647090043873
AdultCensusLocalXAI,SII,1,8,fourier,2,1.4030995829962194
AdultCensusLocalXAI,SII,1,8,fourier,3,1.418402875016909
AdultCensusLocalXAI,SII,1,8,fourier,4,1.4272651670034975
AdultCensusLocalXAI,SII,1,8,fourier,5,1.415321291948203
AdultCensusLocalXAI,SII,1,8,interventional,1,0.0009523329790681601
AdultCensusLocalXAI,SII,1,8,interventional,2,0.0006122079794295132
AdultCensusLocalXAI,SII,1,8,interventional,3,0.0005461249966174364
AdultCensusLocalXAI,SII,1,8,interventional,4,0.0005445000133477151
AdultCensusLocalXAI,SII,1,8,interventional,5,0.000523041991982609
AdultCensusLocalXAI,SII,2,2,fourier,1,0.0011266249930486083
AdultCensusLocalXAI,SII,2,2,fourier,2,0.0012091250391677022
AdultCensusLocalXAI,SII,2,2,fourier,3,0.0011180840083397925
AdultCensusLocalXAI,SII,2,2,fourier,4,0.0011529999901540577
AdultCensusLocalXAI,SII,2,2,fourier,5,0.0010984169784933329
AdultCensusLocalXAI,SII,2,2,interventional,1,0.00021641695639118552
AdultCensusLocalXAI,SII,2,2,interventional,2,0.0002090419875457883
AdultCensusLocalXAI,SII,2,2,interventional,3,0.0001950410078279674
AdultCensusLocalXAI,SII,2,2,interventional,4,0.00019033299759030342
AdultCensusLocalXAI,SII,2,2,interventional,5,0.00019558396888896823
AdultCensusLocalXAI,SII,2,3,fourier,1,0.0037184589891694486
AdultCensusLocalXAI,SII,2,3,fourier,2,0.003475792007520795
AdultCensusLocalXAI,SII,2,3,fourier,3,0.0035346249933354557
AdultCensusLocalXAI,SII,2,3,fourier,4,0.003391208010725677
AdultCensusLocalXAI,SII,2,3,fourier,5,0.0036644170177169144
AdultCensusLocalXAI,SII,2,3,interventional,1,0.0002554579987190664
AdultCensusLocalXAI,SII,2,3,interventional,2,0.00022704200819134712
AdultCensusLocalXAI,SII,2,3,interventional,3,0.0002436250215396285
AdultCensusLocalXAI,SII,2,3,interventional,4,0.00022487499518319964
AdultCensusLocalXAI,SII,2,3,interventional,5,0.00021229201229289174
AdultCensusLocalXAI,SII,2,4,fourier,1,0.013289917027577758
AdultCensusLocalXAI,SII,2,4,fourier,2,0.014033625018782914
AdultCensusLocalXAI,SII,2,4,fourier,3,0.013117499998770654
AdultCensusLocalXAI,SII,2,4,fourier,4,0.013895832991693169
