game,n_players,threshold_budget,min_budget,max_budget,n_points,n_red,n_green,mean_rel_mse_red,mean_rel_mse_green,min_budget_better,delta_green_minus_red
TabArenaMiamiHousingLocalXAI,15,15.0,16.0,32768.0,20,0,20,,0.7003856650231053,24.0,
TabArenaSeismicBumpsLocalXAI,15,15.0,16.0,32768.0,20,0,20,,0.6925448303972426,16.0,
TabArenaOnlineShoppersLocalXAI,17,17.0,18.0,35000.0,20,0,20,,0.6983511801212816,18.0,
TabArenaChurnLocalXAI,19,19.0,21.0,35000.0,20,0,20,,0.7969440781521634,44.0,
TabArenaCreditGLocalXAI,20,20.0,21.0,35000.0,20,0,20,,0.814981057295728,21.0,
TabArenaAirlineSatisfactionLocalXAI,21,21.0,22.0,35000.0,20,0,20,,0.8261001216048894,22.0,
TabArenaJm1LocalXAI,21,21.0,22.0,35000.0,20,0,20,,0.8086743863650993,154.0,
TabArenaCreditCardDefaultLocalXAI,23,23.0,24.0,35000.0,20,0,20,,0.8528714596416005,352.0,
TabArenaHelocLocalXAI,23,23.0,24.0,35000.0,20,0,20,,0.85442260943036,24.0,
TabArenaCouponRecommendationLocalXAI,24,24.0,26.0,35000.0,20,0,20,,0.874135300153689,26.0,
TabArenaMarketingCampaignLocalXAI,25,25.0,26.0,35000.0,20,0,20,,0.8927236581369717,38.0,
TabArenaHazelnutLocalXAI,30,30.0,31.0,35000.0,20,0,20,,0.9316151061285872,414.0,
TabArenaStudentsDropoutLocalXAI,36,36.0,37.0,35000.0,20,0,20,,0.9550845227444501,323.0,
TabArenaAnnealLocalXAI,38,38.0,39.0,35000.0,20,0,20,,0.9643856980980446,39.0,
TabArenaQsarBiodegLocalXAI,41,41.0,43.0,35000.0,20,0,20,,0.9734944905493391,43.0,
TabArenaDiabetes130usLocalXAI,47,47.0,48.0,35000.0,20,0,20,,0.9832383425926293,545.0,
TabArenaSpliceLocalXAI,60,60.0,62.0,35000.0,20,0,20,,0.9938781383914088,634.0,
TabArenaBankruptcyLocalXAI,64,64.0,65.0,35000.0,20,0,20,,0.9947972330597448,660.0,
TabArenaSuperconductivityLocalXAI,81,81.0,82.0,35000.0,20,0,20,,0.9973973478216044,82.0,
TabArenaCoil2000LocalXAI,85,85.0,86.0,35000.0,20,0,20,,0.9981667164511941,787.0,
TabArenaNaticusdroidLocalXAI,86,86.0,87.0,35000.0,20,0,20,,0.9978623098358137,793.0,
TabArenaTaiwaneseBankruptcyLocalXAI,94,94.0,96.0,35000.0,20,0,20,,0.998590829421862,838.0,
TabArenaMicLocalXAI,111,111.0,112.0,35000.0,20,0,20,,0.999166302333945,1259.0,
TabArenaApsFailureLocalXAI,170,170.0,171.0,35000.0,20,0,20,,0.9997566086087545,1608.0,
TabArenaKddcup09LocalXAI,212,212.0,213.0,35000.0,20,0,20,,0.9998768271357095,3123.0,
