game,n_players,threshold_budget,min_budget,max_budget,n_points,n_red,n_green,mean_rel_mse_red,mean_rel_mse_green,min_budget_better,delta_green_minus_red
TabArenaMiamiHousingLocalXAI,15,225.0,16.0,32768.0,20,7,13,1.0017868161943808,0.5507255253994715,593.0,-0.4510612907949093
TabArenaSeismicBumpsLocalXAI,15,225.0,16.0,32768.0,20,7,13,1.0048449511999835,0.5464979570179019,397.0,-0.4583469941820816
TabArenaOnlineShoppersLocalXAI,17,289.0,18.0,35000.0,20,7,13,1.5080203819392415,0.6054528570028845,1444.0,-0.902567524936357
TabArenaChurnLocalXAI,19,361.0,21.0,35000.0,20,8,12,1.007465887239586,0.6605571087215297,1509.0,-0.34690877851805635
TabArenaCreditGLocalXAI,20,400.0,21.0,35000.0,20,8,12,1.025040563112579,0.6866313522808548,2276.0,-0.33840921083172415
TabArenaAirlineSatisfactionLocalXAI,21,441.0,22.0,35000.0,20,8,12,1.0086983040820163,0.7319738223738951,3413.0,-0.27672448170812125
TabArenaJm1LocalXAI,21,441.0,22.0,35000.0,20,8,12,1.5308602724441334,0.8121866709461902,3413.0,-0.7186736014979431
TabArenaCreditCardDefaultLocalXAI,23,529.0,24.0,35000.0,20,9,11,1.1038871858357544,0.7544860387658272,3508.0,-0.3494011470699272
TabArenaHelocLocalXAI,23,529.0,24.0,35000.0,20,9,11,1.059003834579813,0.7632514123713707,3508.0,-0.2957524222084422
TabArenaCouponRecommendationLocalXAI,24,576.0,26.0,35000.0,20,9,11,1.0860150306917644,0.8137355543290241,5202.0,-0.2722794763627403
TabArenaMarketingCampaignLocalXAI,25,625.0,26.0,35000.0,20,9,11,1.0423019914528502,0.8666600129828871,7680.0,-0.1756419784699631
TabArenaHazelnutLocalXAI,30,900.0,31.0,35000.0,20,10,10,1.0860680962075413,1.2696593286432791,16701.0,0.18359123243573783
TabArenaStudentsDropoutLocalXAI,36,1296.0,37.0,35000.0,20,10,10,1.3673051336267623,1.8450147788920586,35000.0,0.47770964526529625
TabArenaAnnealLocalXAI,38,1444.0,39.0,35000.0,20,11,9,1.4622186312344274,3.3424011944328638,,1.8801825631984364
TabArenaQsarBiodegLocalXAI,41,1681.0,43.0,35000.0,20,11,9,1.459010594504972,2.889281395173324,,1.4302708006683518
TabArenaDiabetes130usLocalXAI,47,2209.0,48.0,35000.0,20,12,8,5.977848348718691,3.9031296686452865,,-2.0747186800734045
TabArenaSpliceLocalXAI,60,3600.0,62.0,35000.0,20,13,7,6.2397213763115795,9.900617381432697,,3.660896005121118
TabArenaBankruptcyLocalXAI,64,4096.0,65.0,35000.0,20,13,7,7.710566675886792,12.366224028426375,,4.655657352539583
TabArenaSuperconductivityLocalXAI,81,6561.0,82.0,35000.0,20,14,6,28.316372329503753,29.968438324779672,,1.652065995275919
TabArenaCoil2000LocalXAI,85,7225.0,86.0,35000.0,20,15,5,48.83192380759613,25.436521958730392,,-23.395401848865735
TabArenaNaticusdroidLocalXAI,86,7396.0,87.0,35000.0,20,15,5,25.7097872290783,25.19983396403516,,-0.5099532650431406
