game,n_players,threshold_budget,min_budget,max_budget,n_points,n_red,n_green,mean_rel_mse_red,mean_rel_mse_green,min_budget_better,delta_green_minus_red
TabArenaMiamiHousingLocalXAI,15,15.0,16.0,32768.0,20,0,20,,0.7067131715353427,24.0,
TabArenaSeismicBumpsLocalXAI,15,15.0,16.0,32768.0,20,0,20,,0.6978876326210135,16.0,
TabArenaOnlineShoppersLocalXAI,17,17.0,18.0,35000.0,20,0,20,,0.6944620335388029,197.0,
TabArenaChurnLocalXAI,19,19.0,21.0,35000.0,20,0,20,,0.8058374637121624,44.0,
TabArenaCreditGLocalXAI,20,20.0,21.0,35000.0,20,0,20,,0.8188495010090527,478.0,
TabArenaAirlineSatisfactionLocalXAI,21,21.0,22.0,35000.0,20,0,20,,0.8186516947785851,22.0,
TabArenaJm1LocalXAI,21,21.0,22.0,35000.0,20,0,20,,0.8403110465252963,491.0,
TabArenaCreditCardDefaultLocalXAI,23,23.0,24.0,35000.0,20,0,20,,0.8560543229478327,516.0,
TabArenaHelocLocalXAI,23,23.0,24.0,35000.0,20,0,20,,0.8329257331471791,516.0,
TabArenaCouponRecommendationLocalXAI,24,24.0,26.0,35000.0,20,0,20,,0.8741688716996988,774.0,
TabArenaMarketingCampaignLocalXAI,25,25.0,26.0,35000.0,20,0,20,,0.8825690670372035,790.0,
TabArenaHazelnutLocalXAI,30,30.0,31.0,35000.0,20,0,20,,0.8840008585824259,1254.0,
TabArenaStudentsDropoutLocalXAI,36,36.0,37.0,35000.0,20,0,20,,0.9110811517840396,951.0,
TabArenaAnnealLocalXAI,38,38.0,39.0,35000.0,20,0,20,,0.9868318472368116,8364.0,
TabArenaQsarBiodegLocalXAI,41,41.0,43.0,35000.0,20,0,20,,0.9560822198647505,2062.0,
TabArenaDiabetes130usLocalXAI,47,47.0,48.0,35000.0,20,0,20,,1.3326071595601015,3086.0,
TabArenaSpliceLocalXAI,60,60.0,62.0,35000.0,20,0,20,,1.1418350829485089,4709.0,
TabArenaBankruptcyLocalXAI,64,64.0,65.0,35000.0,20,0,20,,1.101285819342246,4804.0,
TabArenaSuperconductivityLocalXAI,81,81.0,82.0,35000.0,20,0,20,,1.1737439923464479,9780.0,
TabArenaCoil2000LocalXAI,85,85.0,86.0,35000.0,20,0,20,,2.0805923742886887,9879.0,
TabArenaNaticusdroidLocalXAI,86,86.0,87.0,35000.0,20,0,20,,1.1309997605622062,13578.0,
TabArenaTaiwaneseBankruptcyLocalXAI,94,94.0,96.0,35000.0,20,0,20,,1.6144632040577906,10088.0,
TabArenaMicLocalXAI,111,111.0,112.0,35000.0,20,0,20,,1.7474262984677562,,
TabArenaApsFailureLocalXAI,170,170.0,171.0,35000.0,20,0,20,,2.1977660175635534,,
TabArenaKddcup09LocalXAI,212,212.0,213.0,35000.0,20,0,20,,6.115079500766389,,
