approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,default,kernelshapiq,1.600392217269434e-05,10,200
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,leverage,svarmiq,8.009790637243317e-06,20,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,default,shapiq,0.0011522446020577654,10,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,default,svarmiq,4.667651935384832e-05,10,200
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,rf,leverage,,0.00039443062422655877,20,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,default,kernelshapiq,2.1272045452098285e-05,10,100
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,default,,6.471779568905827e-06,10,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,leverage,shapiq,0.026583970381150283,20,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,default,svarmiq,0.024719025486102966,10,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,shapiq,9.976038213336599,10,200
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,kernelshapiq,1281.368316088785,20,50
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,,11.192246180740408,10,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,default,kernelshapiq,0.001967082568872749,10,200
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,leverage,svarmiq,0.002194708587987472,20,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,default,shapiq,0.010943717048771631,10,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,default,svarmiq,0.01086200435294097,10,200
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,rf,leverage,,0.011692142140090744,20,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,kernelshapiq,2954.961942450449,10,100
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,,8.277725274551209,10,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,leverage,shapiq,0.0022206879465986582,20,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,default,svarmiq,0.0023388918320905346,10,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,default,shapiq,0.0012306504713880517,10,200
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,leverage,kernelshapiq,0.00038687386126279853,20,50
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,default,,0.0023299402587774938,10,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,default,kernelshapiq,0.04510778460091427,10,200
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,leverage,svarmiq,0.024735274042909247,20,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,default,shapiq,1.5825678287008667e-05,10,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,default,svarmiq,3.2785791570962686e-05,10,200
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,leverage,,2.353724847899729e-05,20,50
