approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,lightgbm,default,kernelshapiq,8.506844323886206e-05,20,200
TreeRecap,exhaustive,ViT4by4Patches_1,0,rf,default,,1.6432841750013124e-05,,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,dt,leverage,shapiq,6.248178223396308e-05,10,
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,default,svarmiq,0.0001908572003669521,20,200
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,default,shapiq,1.0325351381055775e-05,,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,dt,leverage,kernelshapiq,1.7173497846524066e-05,10,
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,default,,3.238514322160759e-05,20,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,default,kernelshapiq,0.025593264861300195,,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,dt,leverage,svarmiq,0.026471852963369732,10,
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,shapiq,14.912799323518934,20,200
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,default,svarmiq,13.814768309116987,,50
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,dt,leverage,,12.81228043900116,10,
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,default,kernelshapiq,0.0022850855141982244,20,200
TreeRecap,pathdependent,Corrgroups60LocalXAI_2,0,rf,default,,0.0021728377912439392,,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,dt,leverage,shapiq,0.011934034086908137,10,
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,default,svarmiq,0.010865714642619333,20,200
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,default,shapiq,11.729471256824446,,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,dt,leverage,kernelshapiq,25779.477400175852,10,
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,,10.385664524795613,20,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,default,kernelshapiq,0.0022233299298607145,,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,dt,leverage,svarmiq,0.0024278242690740164,10,
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,default,shapiq,0.0012256975236590321,20,200
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,default,svarmiq,0.000798670212377728,,50
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,dt,leverage,,0.0015160019993412967,10,
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,default,kernelshapiq,0.09841174522752973,20,200
TreeRecap,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,default,,0.04402506767323139,,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,dt,leverage,shapiq,2.4076923218567947e-05,10,
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,default,svarmiq,1.1434404077589546e-05,20,200
