approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,leverage,shapiq,0.00013045703677126423,,50
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,default,svarmiq,9.575767621158958e-06,,100
TreeRecap,exhaustive,ViT4by4Patches_1,0,dt,leverage,,1.4976082270085284e-05,20,
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,leverage,kernelshapiq,0.00015467006869532683,,50
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,rf,default,,0.00023383871098142406,,100
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,dt,leverage,shapiq,1.7173497846524066e-05,20,
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,leverage,svarmiq,1.2175586040958557e-05,,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,default,shapiq,0.02552667683985687,,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,dt,leverage,kernelshapiq,0.026471852963369732,20,
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,leverage,,0.025504088790979366,,50
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,default,kernelshapiq,630.3979811875473,,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,dt,leverage,svarmiq,13.508315106746878,20,
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,leverage,shapiq,0.0022615938520555248,,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,default,svarmiq,0.0022201314742400376,,100
TreeRecap,pathdependent,Corrgroups60LocalXAI_2,0,dt,leverage,,0.002219532343862559,20,
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,leverage,kernelshapiq,0.011084251372451632,,50
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,rf,default,,0.011092164035006267,,100
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,dt,leverage,shapiq,11.957344402948207,20,
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,svarmiq,12.480096961063026,,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,default,shapiq,0.002249698196671324,,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,dt,leverage,kernelshapiq,0.002249301785021875,20,
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,xgb,leverage,,0.002175065499955708,,50
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,default,kernelshapiq,0.0005272258281890858,,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,dt,leverage,svarmiq,0.0015160019993412967,20,
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,leverage,shapiq,0.13758015302445692,,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,default,svarmiq,0.03401694163291868,,100
TreeRecap,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,dt,leverage,,0.034068247621518104,20,
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,leverage,kernelshapiq,0.00017518982873965946,,50
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,default,,1.80866866383868e-05,,100
