approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,lightgbm,leverage,shapiq,0.00010582908055602029,10,100
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,leverage,svarmiq,5.111993974295094e-06,10,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,default,shapiq,0.00017124971248781663,20,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,leverage,kernelshapiq,0.002930786169752611,10,100
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,xgb,leverage,,7.689874426873042e-05,10,200
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,default,kernelshapiq,9.773055701088444e-06,20,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,leverage,svarmiq,4.4602862740481124e-05,10,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,leverage,shapiq,0.02549345458762439,10,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,default,svarmiq,0.02544215292300459,20,50
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,,0.024113980870105647,10,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,kernelshapiq,433.68423764017837,10,200
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,default,,11.559188297918938,20,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,leverage,shapiq,0.0023244620121151793,10,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,leverage,svarmiq,0.00202101757234504,10,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,default,shapiq,0.011104122688076144,20,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,kernelshapiq,0.011080819348844834,10,100
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,xgb,leverage,,0.011152280965123993,10,200
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,default,kernelshapiq,747.3388498658621,20,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,svarmiq,14.50821760698119,10,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,xgb,leverage,shapiq,0.0020448249094578933,10,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,default,svarmiq,0.0022430579456830598,20,50
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,lightgbm,leverage,,0.0021217524502689248,10,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,leverage,kernelshapiq,0.0006418421487850603,10,200
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,default,,0.000946825159458311,20,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,leverage,shapiq,0.14364814629553538,10,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,leverage,svarmiq,0.027794194996531064,10,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,default,shapiq,2.0251138022548997e-05,20,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,leverage,kernelshapiq,0.00020652291763458068,10,100
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,leverage,,4.2484023094065955e-05,10,200
