approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,default,kernelshapiq,1.1960904681155104e-05,20,100
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,leverage,svarmiq,7.602357588569961e-06,20,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,default,shapiq,0.009986499657511125,20,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,default,svarmiq,3.807924842687503e-05,20,100
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,rf,leverage,,0.0003951725585455514,20,200
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,default,kernelshapiq,2.1271502706279856e-05,20,50
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,default,,6.471779937134513e-06,20,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,leverage,shapiq,0.026501861185873367,20,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,default,svarmiq,0.02487580690003946,20,50
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,shapiq,10.276273147992477,20,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,kernelshapiq,2029.6350134761399,20,200
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,,9.878280934891244,20,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,default,kernelshapiq,0.0019951687578718662,20,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,leverage,svarmiq,0.002200816024571376,20,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,default,shapiq,0.011204424774801333,20,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,default,svarmiq,0.010862004818057236,20,100
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,rf,leverage,,0.011619011059536739,20,200
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,kernelshapiq,1987.3001365201496,20,50
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,,8.524473333639868,20,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,leverage,shapiq,0.0022258158780212403,20,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,default,svarmiq,0.0024531618104283934,20,50
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,default,shapiq,0.0012306510151056946,20,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,leverage,kernelshapiq,0.00031099112313423555,20,200
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,default,,0.002057213648218145,20,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,default,kernelshapiq,0.03566471565206429,20,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,leverage,svarmiq,0.022791943366633757,20,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,default,shapiq,1.8905528881209067e-05,20,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,default,svarmiq,1.6963410194154234e-05,20,100
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,leverage,,2.2694540964748155e-05,20,200
