approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,leverage,shapiq,8.230731871734809e-06,10,200
RegressionMSR,exhaustive,ViT4by4Patches_1,0,lightgbm,default,svarmiq,6.6448775253215695e-06,10,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,default,shapiq,4.66879252494897e-05,10,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,leverage,kernelshapiq,0.0003228401554543225,10,200
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,default,,0.03652044115880436,10,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,default,kernelshapiq,6.128546128837366e-06,10,100
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,leverage,svarmiq,1.0207414779912415e-05,10,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,default,shapiq,0.02513065366612211,10,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,default,svarmiq,0.02529152532892138,10,100
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,leverage,,0.026390377125290257,10,200
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,kernelshapiq,1989.852437729636,10,50
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,,9.98272415599025,10,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,leverage,shapiq,0.002367464575683464,10,200
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,default,svarmiq,0.0024380507058094874,10,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,default,shapiq,0.010864315948170352,10,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,leverage,kernelshapiq,0.01119144208982527,10,200
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,default,,0.010621795788739577,10,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,kernelshapiq,1581.730786723825,10,100
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,svarmiq,15.54964670352687,10,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,default,shapiq,0.0024876740085554494,10,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,xgb,default,svarmiq,0.0019983833894062345,10,100
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,rf,leverage,,0.002273122789868925,10,200
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,default,kernelshapiq,0.0009048014842180235,10,50
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,default,,0.0012399863091253278,10,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,leverage,shapiq,0.15073101776050368,10,200
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,default,svarmiq,0.03790017088267696,10,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,default,shapiq,0.00015876181518971534,10,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,leverage,kernelshapiq,0.0002782184851204936,10,200
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,default,,2.3769232351938524e-05,10,50
