approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,default,kernelshapiq,1.030887607036971e-05,20,200
RegressionMSR,exhaustive,ViT4by4Patches_1,0,lightgbm,leverage,svarmiq,5.617783752123536e-06,20,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,leverage,shapiq,7.604912282772406e-05,20,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,default,svarmiq,0.00017292457226461208,20,200
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,leverage,,0.05001049441598585,20,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,leverage,kernelshapiq,1.224971358762297e-05,20,100
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,default,,1.62909176405987e-05,20,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,shapiq,0.025755928317008514,20,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,leverage,svarmiq,0.02547258149450253,20,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,default,shapiq,13.913938518440988,20,200
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,kernelshapiq,27478.671391246193,20,50
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,,11.34394608250117,20,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,default,kernelshapiq,0.0021838053927643836,20,200
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,leverage,svarmiq,0.002381886965668779,20,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,leverage,shapiq,0.011184580686286,20,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,default,svarmiq,0.011022278234487586,20,200
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,,0.010568884834792508,20,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,kernelshapiq,158.02439904044098,20,100
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,default,,9.445855518707296,20,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,leverage,shapiq,0.002449980458148333,20,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,xgb,leverage,svarmiq,0.002060563143427328,20,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,default,shapiq,0.0007219256336324782,20,200
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,leverage,kernelshapiq,0.0007378691931161657,20,50
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,leverage,,0.0006650667145362611,20,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,default,kernelshapiq,0.04366076420116012,20,200
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,leverage,svarmiq,0.029257157763959627,20,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,leverage,shapiq,2.7465329548761888e-05,20,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,default,svarmiq,1.704988105065183e-05,20,200
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,leverage,,2.255906897650412e-05,20,50
