approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,dt,leverage,shapiq,1.4976082270085284e-05,20,
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,leverage,svarmiq,4.645110331960746e-06,,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,default,shapiq,0.00017564456694090625,,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,dt,leverage,kernelshapiq,5.8719569462386146e-05,20,
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,xgb,leverage,,0.00014474713876011454,,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,default,kernelshapiq,8.73244296900464e-06,,100
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,dt,leverage,svarmiq,1.7173497846524066e-05,20,
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,leverage,shapiq,0.025538578474425977,,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,default,svarmiq,0.02538645670038537,,100
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,dt,leverage,,0.026471852963369732,20,
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,kernelshapiq,3255.381004094853,,50
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,default,,11.498497574927105,,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,dt,leverage,shapiq,0.0022175819413735344,20,
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,leverage,svarmiq,0.0022526215938481805,,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,default,shapiq,0.011095475657345769,,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,dt,leverage,kernelshapiq,0.011934034086908137,20,
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,xgb,leverage,,0.011182696002318694,,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,default,kernelshapiq,626.8826527129607,,100
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,dt,leverage,svarmiq,11.244048729509423,20,
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,xgb,leverage,shapiq,0.0022810020518867955,,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,default,svarmiq,0.0022440318615184725,,100
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,dt,leverage,,0.002246419402324168,20,
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,leverage,kernelshapiq,0.0006603553069347737,,50
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,default,,0.000954854087079357,,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,dt,leverage,shapiq,0.034068247621518104,20,
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,leverage,svarmiq,0.020311566573728963,,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,default,shapiq,2.002573357023587e-05,,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,dt,leverage,kernelshapiq,3.985277800534052e-05,20,
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,leverage,,1.983607282415462e-05,,50
