approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,default,shapiq,9.557013248796366e-06,,100
RegressionMSR,exhaustive,ViT4by4Patches_1,0,dt,leverage,kernelshapiq,1.4976082270085284e-05,20,
TreeRecap,exhaustive,ViT4by4Patches_1,0,xgb,leverage,,6.271175441931536e-06,,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,default,kernelshapiq,0.00018473310967030395,,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,dt,leverage,svarmiq,5.8719569462386146e-05,20,
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,leverage,shapiq,1.260624629570814e-05,,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,default,svarmiq,1.2692345419875516e-05,,100
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,dt,leverage,,1.7173497846524066e-05,20,
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,leverage,kernelshapiq,0.025457825406250866,,50
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,default,,0.025414864717103365,,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,dt,leverage,shapiq,14.21097303557285,20,
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,svarmiq,14.67481404668728,,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,default,shapiq,0.0022256853769745868,,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,dt,leverage,kernelshapiq,0.0022231468648729537,20,
TreeRecap,pathdependent,Corrgroups60LocalXAI_2,0,xgb,leverage,,0.002156577088540478,,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,default,kernelshapiq,0.010915304922456898,,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,dt,leverage,svarmiq,0.011934034086908137,20,
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,shapiq,13.591068839157476,,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,default,svarmiq,11.565990800775698,,100
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,dt,leverage,,11.0570619846496,20,
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,xgb,leverage,kernelshapiq,0.002306649747703812,,50
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,rf,default,,0.002196610282930902,,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,dt,leverage,shapiq,0.0015160019993412967,20,
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,leverage,svarmiq,0.0007118459481190338,,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,default,shapiq,0.08575010327739817,,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,dt,leverage,kernelshapiq,0.034068247621518104,20,
TreeRecap,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,leverage,,0.020525330310735636,,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,default,kernelshapiq,0.00011206857906574959,,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,dt,leverage,svarmiq,3.985277800534052e-05,20,
