approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,dt,default,kernelshapiq,1.7267638762577275e-05,,
RegressionMSR,exhaustive,ViT4by4Patches_1,0,lightgbm,leverage,svarmiq,4.3122658041005464e-06,20,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,leverage,shapiq,7.604721050946935e-05,20,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,dt,default,svarmiq,0.00014336615551742535,,
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,leverage,,0.004397119238543729,20,100
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,leverage,kernelshapiq,1.2249698225921216e-05,20,200
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,dt,default,,1.2380553922054945e-05,,
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,shapiq,0.025102026931733232,20,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,leverage,svarmiq,0.025472579625926,20,200
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,dt,default,shapiq,12.91127182317321,,
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,kernelshapiq,9336.551925550051,20,100
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,,11.344047764348048,20,200
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,dt,default,kernelshapiq,0.002185075008371949,,
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,leverage,svarmiq,0.0023169237837096066,20,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,leverage,shapiq,0.011184579668230577,20,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,dt,default,svarmiq,0.011089912298323732,,
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,,0.010507864080201481,20,100
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,kernelshapiq,37.49668654712102,20,200
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,dt,default,,10.688719487042963,,
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,leverage,shapiq,0.0023444878932349623,20,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,xgb,leverage,svarmiq,0.0020605631733908313,20,200
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,dt,default,shapiq,0.0015627484384001745,,
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,leverage,kernelshapiq,0.0007378691331866856,20,100
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,leverage,,0.0006650666768379591,20,200
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,dt,default,kernelshapiq,0.04411484122546468,,
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,leverage,svarmiq,0.020399825089010525,20,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,leverage,shapiq,2.7464761875490213e-05,20,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,dt,default,svarmiq,4.236376854161096e-05,,
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,leverage,,1.633178626208923e-05,20,100
