approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,leverage,kernelshapiq,0.00016745522381838549,,100
TreeRecap,exhaustive,ViT4by4Patches_1,0,rf,default,,1.6587877532124303e-05,,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,leverage,shapiq,0.01507654749236052,,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,leverage,svarmiq,6.448710218186237e-05,,100
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,default,shapiq,1.010400104849899e-05,,200
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,leverage,kernelshapiq,3.936368819282422e-05,,50
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,leverage,,1.1967297551102505e-05,,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,default,kernelshapiq,0.025517775497926557,,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,svarmiq,0.025509817142130124,,50
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,shapiq,14.636321459175067,,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,default,svarmiq,13.681913364904792,,200
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,,9.86993487724808,,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,leverage,kernelshapiq,0.0022706116626394737,,100
TreeRecap,pathdependent,Corrgroups60LocalXAI_2,0,rf,default,,0.0021600594423704417,,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,shapiq,0.011508286843248623,,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,leverage,svarmiq,0.011189435671542743,,100
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,default,shapiq,11.60200634279574,,200
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,kernelshapiq,27470.02403628581,,50
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,,10.91522705762092,,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,default,kernelshapiq,0.0022166717257925198,,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,leverage,svarmiq,0.0024002954611180433,,50
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,leverage,shapiq,0.000726635856004928,,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,default,svarmiq,0.0008047385214814112,,200
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,leverage,,0.0012693018195496855,,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,leverage,kernelshapiq,0.05252796013176712,,100
TreeRecap,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,default,,0.04008662643786439,,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,leverage,shapiq,2.5042226052467667e-05,,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,leverage,svarmiq,1.864186580194814e-05,,100
