approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,default,shapiq,0.00018407681852644652,,100
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,leverage,kernelshapiq,8.590058754614513e-06,,200
TreeRecap,exhaustive,ViT4by4Patches_1,0,lightgbm,default,,3.786633422799874e-05,,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,default,kernelshapiq,0.00032000446409605725,,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,leverage,svarmiq,0.0003250395100440289,,200
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,default,shapiq,0.0001337669484905021,,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,default,svarmiq,7.185377863249631e-06,,100
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,leverage,,1.2510973280128943e-05,,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,default,kernelshapiq,0.025320685757701633,,50
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,default,,0.02523194922044279,,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,shapiq,14.065740236706795,,200
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,svarmiq,21.020080547907313,,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,default,shapiq,0.002210730406450982,,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,leverage,kernelshapiq,0.0021934016798765056,,200
TreeRecap,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,default,,0.001838283057168876,,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,default,kernelshapiq,0.010864335113869698,,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,leverage,svarmiq,0.011694770647005144,,200
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,shapiq,19.164433651173084,,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,svarmiq,11.093701571230755,,100
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,,10.039300855573769,,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,default,kernelshapiq,0.002361878273558085,,50
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,xgb,default,,0.0022101415677454913,,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,leverage,shapiq,0.00047233329376519085,,200
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,default,svarmiq,0.0026324087974426047,,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,default,shapiq,0.14976702708630413,,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,leverage,kernelshapiq,0.03375002789889585,,200
TreeRecap,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,default,,0.06081706325601511,,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,default,kernelshapiq,0.00018090223585119525,,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,leverage,svarmiq,2.1759567587010835e-05,,200
