approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,leverage,shapiq,7.734594066937443e-06,,100
RegressionMSR,exhaustive,ViT4by4Patches_1,0,dt,default,svarmiq,1.7267638762577275e-05,20,
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,default,shapiq,0.0002644436483251675,,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,leverage,kernelshapiq,0.0003125990939389577,,100
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,dt,default,,0.00014336615551742535,20,
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,default,kernelshapiq,7.111546704137118e-06,,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,leverage,svarmiq,9.622408659581484e-06,,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,dt,default,shapiq,0.02575292728001316,20,
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,default,svarmiq,0.025262658793751096,,50
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,leverage,,0.026396432390038027,,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,dt,default,kernelshapiq,4818.52332747877,20,
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,,12.180366841920035,,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,leverage,shapiq,0.0021927697317954864,,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,dt,default,svarmiq,0.002196402689465521,20,
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,default,shapiq,0.010881172733904852,,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,leverage,kernelshapiq,0.011259137487920104,,100
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,dt,default,,0.011089912298323732,20,
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,kernelshapiq,3301.192238162566,,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,svarmiq,11.565898987528605,,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,dt,default,shapiq,0.002220621930467537,20,
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,xgb,default,svarmiq,0.0022391454314185906,,50
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,rf,leverage,,0.002185352166954586,,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,dt,default,kernelshapiq,0.0015627484384001745,20,
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,default,,0.0014388843954335252,,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,leverage,shapiq,0.06395664345725642,,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,dt,default,svarmiq,0.04411484122546468,20,
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,default,shapiq,3.0027638972054063e-05,,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,leverage,kernelshapiq,0.000102112443010305,,100
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,dt,default,,4.236376854161096e-05,20,
