approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,default,kernelshapiq,3.494306589286463e-05,10,50
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,leverage,svarmiq,6.3738094558810235e-06,10,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,default,shapiq,0.0002489679654025785,,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,default,svarmiq,4.6679778948079587e-05,10,50
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,rf,leverage,,0.0003712506275949499,10,100
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,default,kernelshapiq,2.1268547534545752e-05,,200
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,default,,6.471781340145694e-06,10,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,leverage,shapiq,0.026476775166526842,10,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,default,svarmiq,0.024667378475743913,,200
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,shapiq,9.998428323710083,10,50
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,kernelshapiq,8434.105060860542,10,100
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,,12.311863846294713,,200
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,default,kernelshapiq,0.0019688611944286153,10,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,leverage,svarmiq,0.0022978754498459925,10,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,default,shapiq,0.010785767210729406,,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,default,svarmiq,0.010862005902811103,10,50
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,rf,leverage,,0.01162069235473466,10,100
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,kernelshapiq,1549.6023199084648,,200
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,,8.283912470995128,10,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,leverage,shapiq,0.002398965455235927,10,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,default,svarmiq,0.0022862216566815535,,200
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,default,shapiq,0.0012306517469353104,10,50
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,leverage,kernelshapiq,0.0003178807971320448,10,100
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,default,,0.0018567426322123573,,200
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,default,kernelshapiq,0.04413297686552579,10,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,leverage,svarmiq,0.02251270794623878,10,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,default,shapiq,1.797185834511519e-05,,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,default,svarmiq,2.053997005928597e-05,10,50
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,leverage,,1.8837747226175855e-05,10,100
