approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,leverage,shapiq,7.649367924351483e-06,,200
RegressionMSR,exhaustive,ViT4by4Patches_1,0,lightgbm,default,svarmiq,6.6182838943268125e-06,,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,default,shapiq,0.00014025098646027056,,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,leverage,kernelshapiq,0.00031954732897955816,,200
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,default,,0.03652044115880436,,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,default,kernelshapiq,7.111546814268721e-06,,100
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,leverage,svarmiq,1.0207414779912415e-05,,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,default,shapiq,0.02513065366612211,,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,default,svarmiq,0.025262653133921967,,100
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,leverage,,0.026390377125290257,,200
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,kernelshapiq,1989.852437729636,,50
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,,12.677081071739321,,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,leverage,shapiq,0.00219503173054239,,200
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,default,svarmiq,0.0024380507058094874,,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,default,shapiq,0.010881170835004495,,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,leverage,kernelshapiq,0.01119144208982527,,200
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,default,,0.010621795788739577,,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,kernelshapiq,3391.744517697986,,100
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,svarmiq,11.589419768169074,,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,default,shapiq,0.0024876740085554494,,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,xgb,default,svarmiq,0.002228838226490233,,100
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,rf,leverage,,0.0021870013974555277,,200
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,default,kernelshapiq,0.0009048014842180235,,50
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,default,,0.0014388847569406598,,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,leverage,shapiq,0.059639862606142645,,200
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,default,svarmiq,0.03790017088267696,,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,default,shapiq,5.4656623571533215e-05,,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,leverage,kernelshapiq,0.00011146067835877792,,200
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,default,,2.3769232351938524e-05,,50
