approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,leverage,kernelshapiq,8.646530631754123e-06,,50
TreeRecap,exhaustive,ViT4by4Patches_1,0,dt,default,,3.0487851387724042e-05,10,
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,leverage,shapiq,0.0005704980978811793,20,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,leverage,svarmiq,0.000328273475804167,,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,dt,default,shapiq,1.2380553922054945e-05,10,
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,leverage,kernelshapiq,3.936369151524705e-05,20,200
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,leverage,,1.3099434430043174e-05,,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,dt,default,kernelshapiq,0.02575292728001316,10,
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,svarmiq,0.02481256615904113,20,200
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,shapiq,14.064985654337454,,50
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,dt,default,svarmiq,17.56196704963559,10,
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,,13.092787784277354,20,200
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,leverage,kernelshapiq,0.0021897141032926923,,50
TreeRecap,pathdependent,Corrgroups60LocalXAI_2,0,dt,default,,0.0022634749078545976,10,
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,shapiq,0.010656920463648807,20,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,leverage,svarmiq,0.011746605687936387,,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,dt,default,shapiq,15.321977983579199,10,
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,kernelshapiq,7920.426647748832,20,200
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,,10.0082681663974,,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,dt,default,kernelshapiq,0.0023548946775587484,10,
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,leverage,svarmiq,0.002310821149577122,20,200
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,leverage,shapiq,0.0004923576331594216,,50
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,dt,default,svarmiq,0.0015627484384001745,10,
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,leverage,,0.0005258137316738086,20,200
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,leverage,kernelshapiq,0.035553935828642004,,50
TreeRecap,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,dt,default,,0.04367971294408825,10,
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,leverage,shapiq,2.463347643468801e-05,20,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,leverage,svarmiq,2.2653763917955973e-05,,50
