approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,leverage,shapiq,8.046121219950965e-06,,50
RegressionMSR,exhaustive,ViT4by4Patches_1,0,dt,default,svarmiq,1.0277775878180212e-05,10,
TreeRecap,exhaustive,ViT4by4Patches_1,0,lightgbm,leverage,,5.1267678936718785e-06,20,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,leverage,kernelshapiq,0.000334856169964822,,50
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,dt,default,,0.00014336615551742535,10,
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,leverage,shapiq,0.00010955812223771622,20,200
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,leverage,svarmiq,1.0292244126175447e-05,,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,dt,default,shapiq,0.02575292728001316,10,
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,kernelshapiq,0.0251712869365487,20,200
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,leverage,,0.02650204087751394,,50
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,dt,default,kernelshapiq,53347.948225002845,10,
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,svarmiq,15.487164955036251,20,200
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,leverage,shapiq,0.002190764295647254,,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,dt,default,svarmiq,0.0023252413989048796,10,
TreeRecap,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,leverage,,0.0022268646098869064,20,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,leverage,kernelshapiq,0.011219407917155921,,50
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,dt,default,,0.011089912298323732,10,
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,shapiq,13.996441753210213,20,200
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,svarmiq,11.623290972360824,,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,dt,default,shapiq,0.0023468808422066343,10,
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,leverage,kernelshapiq,0.00233188085883807,20,200
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,rf,leverage,,0.002178518544577302,,50
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,dt,default,kernelshapiq,0.0015627484384001745,10,
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,leverage,svarmiq,0.0006391748532772991,20,200
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,leverage,shapiq,0.056138080385565954,,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,dt,default,svarmiq,0.04639069157553818,10,
TreeRecap,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,leverage,,0.017947993066641726,20,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,leverage,kernelshapiq,0.00011315400037514067,,50
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,dt,default,,1.936166078499981e-05,10,
