approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,lightgbm,leverage,shapiq,8.336822103464129e-05,,100
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,leverage,svarmiq,3.07359720877302e-06,,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,default,shapiq,0.00016854175588061033,10,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,leverage,kernelshapiq,0.002930786169752611,,100
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,xgb,leverage,,4.78448452343159e-05,,200
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,default,kernelshapiq,9.773055701088444e-06,10,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,leverage,svarmiq,4.4602862740481124e-05,,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,leverage,shapiq,0.0255385860548737,,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,default,svarmiq,0.02544215292300459,10,50
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,,0.024113980870105647,,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,kernelshapiq,1606.1991208082502,,200
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,default,,11.214838955196564,10,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,leverage,shapiq,0.0023244620121151793,,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,leverage,svarmiq,0.0022455561038323586,,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,default,shapiq,0.011104122688076144,10,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,kernelshapiq,0.011080819348844834,,100
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,xgb,leverage,,0.011182697730729751,,200
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,default,kernelshapiq,16259.439963259452,10,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,svarmiq,14.50821760698119,,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,xgb,leverage,shapiq,0.0022588872509041666,,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,default,svarmiq,0.0023203514827823254,10,50
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,lightgbm,leverage,,0.0021217524502689248,,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,leverage,kernelshapiq,0.0006603586248667734,,200
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,default,,0.000946825159458311,10,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,leverage,shapiq,0.14364814629553538,,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,leverage,svarmiq,0.03246326285698828,,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,default,shapiq,2.0007387968981475e-05,10,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,leverage,kernelshapiq,0.00020652291763458068,,100
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,leverage,,2.3433582058232525e-05,,200
