approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,default,kernelshapiq,1.1960869397854626e-05,20,50
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,leverage,svarmiq,7.674626170944417e-06,20,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,default,shapiq,0.0002489679654025785,10,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,default,svarmiq,3.808430362306615e-05,20,50
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,rf,leverage,,0.0003745788342392437,20,100
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,default,kernelshapiq,2.1268547534545752e-05,10,200
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,default,,6.471781340145694e-06,20,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,leverage,shapiq,0.026476775166526842,20,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,default,svarmiq,0.024667378475743913,10,200
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,shapiq,10.27585367663062,20,50
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,kernelshapiq,2646.8834057297204,20,100
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,,12.267655835494844,10,200
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,default,kernelshapiq,0.0019951687395395605,20,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,leverage,svarmiq,0.0021967937892618523,20,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,default,shapiq,0.010785767210729406,10,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,default,svarmiq,0.010862005902811103,20,50
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,rf,leverage,,0.01162069235473466,20,100
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,kernelshapiq,2300.8148779379044,10,200
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,,8.525971901783633,20,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,leverage,shapiq,0.0022226417905724504,20,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,default,svarmiq,0.0022862216566815535,10,200
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,default,shapiq,0.0012306517469353104,20,50
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,leverage,kernelshapiq,0.0003178807971320448,20,100
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,default,,0.0018567426322123573,10,200
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,default,kernelshapiq,0.03567633883267686,20,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,leverage,svarmiq,0.022850584828113998,20,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,default,shapiq,1.797185834511519e-05,10,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,default,svarmiq,1.696622647691745e-05,20,50
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,leverage,,2.311114201782032e-05,20,100
