approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,default,kernelshapiq,1.0254280180984266e-05,20,100
RegressionMSR,exhaustive,ViT4by4Patches_1,0,lightgbm,leverage,svarmiq,3.784726143092444e-06,10,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,leverage,shapiq,7.605971683879148e-05,20,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,default,svarmiq,0.00017360941232114554,20,100
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,leverage,,0.000674249014122493,10,200
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,leverage,kernelshapiq,1.2249722562842866e-05,20,50
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,default,,1.6515538840692525e-05,20,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,shapiq,0.02486586334118375,10,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,leverage,svarmiq,0.025472589477900487,20,50
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,default,shapiq,13.970633884252448,20,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,kernelshapiq,7925.5189376789795,10,200
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,,11.344066826818617,20,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,default,kernelshapiq,0.002184476081436638,20,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,leverage,svarmiq,0.0022934196253053003,10,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,leverage,shapiq,0.011184583598100277,20,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,default,svarmiq,0.011045703300722808,20,100
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,,0.010560549943956466,10,200
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,kernelshapiq,744.3562057071792,20,50
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,default,,9.458357583928617,20,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,leverage,shapiq,0.002311289722896083,10,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,xgb,leverage,svarmiq,0.002060563049972347,20,50
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,default,shapiq,0.0007338675882136514,20,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,leverage,kernelshapiq,0.0007378691101952843,10,200
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,leverage,,0.0006650663616266546,20,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,default,kernelshapiq,0.05812074693727714,20,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,leverage,svarmiq,0.01835355606050013,10,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,leverage,shapiq,2.7466561041783653e-05,20,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,default,svarmiq,1.714946334669676e-05,20,100
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,leverage,,1.842516810138615e-05,10,200
