approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,leverage,kernelshapiq,0.00014525730046738533,,50
TreeRecap,exhaustive,ViT4by4Patches_1,0,rf,default,,1.6564421251002765e-05,,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,dt,leverage,shapiq,5.8719569462386146e-05,20,
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,leverage,svarmiq,0.00013166542858584904,,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,default,shapiq,9.900370687920584e-06,,100
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,dt,leverage,kernelshapiq,1.7173497846524066e-05,20,
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,leverage,,1.196729897913362e-05,,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,default,kernelshapiq,0.025536727369561314,,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,dt,leverage,svarmiq,0.026471852963369732,20,
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,shapiq,15.789817355383725,,50
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,default,svarmiq,13.72420314809938,,100
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,dt,leverage,,13.319402173198277,20,
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,leverage,kernelshapiq,0.0022929406516933623,,50
TreeRecap,pathdependent,Corrgroups60LocalXAI_2,0,rf,default,,0.002164401181048794,,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,dt,leverage,shapiq,0.011934034086908137,20,
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,leverage,svarmiq,0.011189434123426422,,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,default,shapiq,11.630068437090722,,100
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,dt,leverage,kernelshapiq,3361.1164196525306,20,
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,,10.211569700351744,,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,default,kernelshapiq,0.0022199385593169463,,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,dt,leverage,svarmiq,0.002245372540613003,20,
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,leverage,shapiq,0.0007266371994214047,,50
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,default,svarmiq,0.0008130183854132204,,100
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,dt,leverage,,0.0015160019993412967,20,
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,leverage,kernelshapiq,0.05775774864496764,,50
TreeRecap,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,default,,0.041433214203361365,,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,dt,leverage,shapiq,3.985277800534052e-05,20,
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,leverage,svarmiq,1.763854123995501e-05,,50
