approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,lightgbm,leverage,shapiq,5.2167990437965296e-05,10,50
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,leverage,svarmiq,5.112019571211367e-06,10,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,default,shapiq,0.00017199341499181617,10,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,leverage,kernelshapiq,0.008855478111553655,10,50
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,xgb,leverage,,7.689937782672623e-05,10,100
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,default,kernelshapiq,9.70461616996495e-06,10,200
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,leverage,svarmiq,4.797677418624025e-05,10,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,xgb,leverage,shapiq,0.02549345677421866,10,100
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,default,svarmiq,0.02532016162555273,10,200
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,,0.02361579690487885,10,50
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,leverage,kernelshapiq,5004.443824569885,10,100
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,default,,11.149343204718557,10,200
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,leverage,shapiq,0.0024273609459496176,10,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,leverage,svarmiq,0.0020210176237025358,10,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,default,shapiq,0.011081030901149175,10,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,leverage,kernelshapiq,0.011080819125236232,10,50
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,xgb,leverage,,0.011152281083110357,10,100
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,default,kernelshapiq,10462.594100537428,10,200
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,leverage,svarmiq,16.96364937639339,10,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,xgb,leverage,shapiq,0.0020448249539908097,10,100
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,default,svarmiq,0.0023118937536348834,10,200
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,lightgbm,leverage,,0.0018800282644409916,10,50
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,leverage,kernelshapiq,0.000641841373739571,10,100
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,default,,0.0009507041790551042,10,200
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,leverage,shapiq,0.17716934231869827,10,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,leverage,svarmiq,0.02788417723182877,10,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,default,shapiq,1.9126760447089467e-05,10,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,leverage,kernelshapiq,0.00020157156548768874,10,50
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,leverage,,3.7120365575299176e-05,10,100
