approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,xgb,default,kernelshapiq,0.00018420477858074633,,200
RegressionMSR,exhaustive,ViT4by4Patches_1,0,rf,leverage,svarmiq,6.296727673030555e-06,10,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,default,shapiq,0.0011522446020577654,,100
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,xgb,default,svarmiq,8.788738130569227e-05,,200
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,rf,leverage,,0.00038670387577434645,10,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,lightgbm,default,kernelshapiq,2.1272045452098285e-05,,100
TreeRecap,exhaustive,CaliforniaHousingLocalXAI_4,0,xgb,default,,7.2154054108328565e-06,,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,leverage,shapiq,0.026583970381150283,10,50
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,default,svarmiq,0.024719025486102966,,100
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,shapiq,13.05596582424477,,200
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,leverage,kernelshapiq,5502.146061873263,10,50
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,,11.192246180740408,,100
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,xgb,default,kernelshapiq,0.0022246334410593303,,200
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,rf,leverage,svarmiq,0.002299563241892224,10,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,default,shapiq,0.010943717048771631,,100
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,xgb,default,svarmiq,0.01086286295168433,,200
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,rf,leverage,,0.011692142140090744,10,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,kernelshapiq,2954.961942450449,,100
TreeRecap,interventional,CommunitiesAndCrimeLocalXAI_2,0,xgb,default,,10.84565780659641,,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,leverage,shapiq,0.002404208172473936,10,50
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,default,svarmiq,0.0023388918320905346,,100
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,xgb,default,shapiq,0.0013840801173705037,,200
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,leverage,kernelshapiq,0.00038687386126279853,10,50
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,default,,0.0023299402587774938,,100
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,xgb,default,kernelshapiq,0.051077147730816626,,200
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,rf,leverage,svarmiq,0.02426255321541966,10,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,default,shapiq,1.5825678287008667e-05,,100
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,xgb,default,svarmiq,1.4374461532322304e-05,,200
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,leverage,,1.887706914379206e-05,10,50
