approximator,game_type,game_identifier,id_explain,value_model,sampling_weight,residual_approximator,MSE,max_depth,n_estimators
RegressionMSR,exhaustive,ViT4by4Patches_1,0,dt,leverage,shapiq,9.984969663960647e-06,10,
RegressionMSR,exhaustive,ViT4by4Patches_1,0,lightgbm,default,svarmiq,4.239325626839295e-06,20,200
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,rf,default,shapiq,0.00017124971248781663,,50
RegressionMSR,exhaustive,BikeSharingLocalXAI_3,0,dt,leverage,kernelshapiq,6.248178223396308e-05,10,
TreeRecap,exhaustive,BikeSharingLocalXAI_3,0,lightgbm,default,,0.00019971141097768744,20,200
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,rf,default,kernelshapiq,9.773055701088444e-06,,50
RegressionMSR,exhaustive,CaliforniaHousingLocalXAI_4,0,dt,leverage,svarmiq,1.7173497846524066e-05,10,
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,lightgbm,default,shapiq,0.025012109682332848,20,200
RegressionMSR,pathdependent,CaliforniaHousingLocalXAI_2,0,rf,default,svarmiq,0.02544215292300459,,50
TreeRecap,pathdependent,CaliforniaHousingLocalXAI_2,0,dt,leverage,,0.026471852963369732,10,
RegressionMSR,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,lightgbm,default,kernelshapiq,1554.1827058872304,20,200
TreeRecap,pathdependent,CommunitiesAndCrimeLocalXAI_2,0,rf,default,,11.5678233811623,,50
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,dt,leverage,shapiq,0.002442197350964728,10,
RegressionMSR,pathdependent,Corrgroups60LocalXAI_2,0,lightgbm,default,svarmiq,0.002267565557242062,20,200
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,rf,default,shapiq,0.011104122688076144,,50
RegressionMSR,interventional,CaliforniaHousingLocalXAI_2,0,dt,leverage,kernelshapiq,0.011934034086908137,10,
TreeRecap,interventional,CaliforniaHousingLocalXAI_2,0,lightgbm,default,,0.010537286788047434,20,200
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,rf,default,kernelshapiq,630.0906881868717,,50
RegressionMSR,interventional,CommunitiesAndCrimeLocalXAI_2,0,dt,leverage,svarmiq,17.671778112801938,10,
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,lightgbm,default,shapiq,0.002286384942268574,20,200
RegressionMSR,interventional,Corrgroups60LocalXAI_2,0,rf,default,svarmiq,0.0022446858953749918,,50
TreeRecap,interventional,Corrgroups60LocalXAI_2,0,dt,leverage,,0.002338455605179763,10,
RegressionMSR,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,lightgbm,default,kernelshapiq,0.000905008160393351,20,200
TreeRecap,exhaustive_tabpfn,CaliforniaHousingLocalXAI_1,0,rf,default,,0.000946825159458311,,50
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,dt,leverage,shapiq,0.10293897590032805,10,
RegressionMSR,exhaustive_tabpfn,BikeSharingLocalXAI_1,0,lightgbm,default,svarmiq,0.02946671256313832,20,200
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,rf,default,shapiq,2.0251138022548997e-05,,50
RegressionMSR,exhaustive_tabpfn,RealEstateLocalXAI_1,0,dt,leverage,kernelshapiq,0.00022027473724071665,10,
TreeRecap,exhaustive_tabpfn,RealEstateLocalXAI_1,0,lightgbm,default,,1.1470802899030273e-05,20,200
